"gid","mc","bm","x","y","czfl","szs","szsq","szq","xzjb","yygs"
32593,武夷山分输站,"010102005000425",118.04128893386921,27.769979737150244,分输站,福建省,南平市,武夷山市,,
32594,建阳末站,"010102003000160",118.09678806933933,27.29212556001104,末站,福建省,南平市,建阳区,,
32602,福安分输站,"010102005000432",119.61886222627786,27.13826505664796,分输站,福建省,宁德市,福安市,,
32598,永安分输站,"010102005000429",117.32159047559311,25.944514881437907,分输站,福建省,三明市,永安市,,
32599,连城分输站,"010102005000430",116.78808266328834,25.65599732645139,分输站,福建省,三明市,连城县,,
32600,宁德分输站,"010102005000431",119.50933056553177,26.67151098088969,分输站,福建省,宁德市,蕉城区,,
32596,南平分输站,"010102005000427",118.14512602490898,26.66031184600468,分输站,福建省,南平市,延平区,,
32597,三明分输站,"010102005000428",117.61519880210527,26.277284102849634,分输站,福建省,三明市,沙县区,,
21407,福建末站,"010102003000033",119.31600738603603,25.951587774209724,末站,福建省,福州市,闽侯区,国家,中石油
21384,福清分输站,"010102005000123",119.3458693992047,25.749665756016363,分输站,福建省,福州市,福清市,国家,中石油
32601,福鼎末站,"010102003000161",120.22237199191956,27.38466529282964,末站,福建省,宁德市,福鼎市,,
32604,九江站,"010102003000163",115.98275621541156,29.659471711542125,末站,江西省,九江市,濂溪区,,
32595,建瓯分输站,"010102005000426",118.37070315359557,27.085103334416132,分输站,福建省,南平市,建瓯市,,
32603,中石油福建LNG,"010101002000037",119.60399080629378,25.438797670310663,接收站,福建省,福州市,福清市,,
32605,瑞昌站,"010102003000162",115.5913474999251,29.67904546316385,末站,江西省,九江市,瑞昌市,,
32606,昌北站,"010102003000164",115.95929046578058,28.877524896034117,末站,江西省,南昌市,新建区,,
32607,南昌县站,"010102003000165",115.93620603302146,28.554294679976465,末站,江西省,南昌市,南昌县,,
32608,高安站,"010102003000166",115.38109437683578,28.462791522993953,末站,江西省,宜春市,高安市,,
34397,郴州末站,"010102006000039",113.02403852677566,25.848947085656008,末站,湖南省,郴州市,北湖区,,
22662,"4#","010102007001016",116.11699693007445,28.357372673378148,阀室,江西省,南昌市,进贤县,国家,中石油
21948,"7#","010102007000364",116.35646090902407,28.30539571628752,阀室,江西省,鹰潭市,余江区,国家,中石油
22657,"5#","010102007000976",116.175754707831,28.347252137760485,阀室,江西省,抚州市,东乡区,国家,中石油
21696,应县清管站,"010102001000002",113.1338423438152,39.47636737313715,压气站,山西省,朔州市,应县,国家,中石油
21440,鹰潭分输站,"010102005000223",117.01584266308105,28.297590046735344,分输站,江西省,鹰潭市,贵溪市,国家,中石油
22885,"8#","010102007001156",117.1794509482988,28.35919225640071,阀室,江西省,上饶市,弋阳县,国家,中石油
22752,"9#","010102007001057",117.29442927068231,28.387801773777138,阀室,江西省,上饶市,弋阳县,国家,中石油
32609,进贤站,"010102003000167",116.2764594130009,28.37120907624642,末站,江西省,南昌市,进贤县,,
32610,抚州站,"010102003000168",116.37472224300532,28.006679465212244,末站,江西省,抚州市,临川区,,
32611,东乡站,"010102003000169",116.69224317710336,28.198147879271485,末站,江西省,抚州市,东乡县,,
